Id,OrderId,ProdOrderNo,PartNumber,ProcessSeg,ProductLineNo,PlantCode,LineMode,ProcessNo,DeviceNo,LastFlag,TotalNum,GoodNum,FirstGoodNum,TotalNumFromLast,GoodNumFromLast,FirstGoodNumFromLast,LastTime,LastPLCFlag,CtrlFlag,LastRMCount,LastGoodCount,LastFailCount,RMUseNum,PLCGoodNum,PLCFailNum,MinCT,MaxCT,CreateBy,CreateTime,UpdateBy,UpdateTime,IsDelete,RMReduceFlag,InvalidFlag
1469,13475,35540660-230210-4,35540660,FA,H18,2601,NULL,PACKING,NULL,1,0,0,0,0,0,0,08:31.6,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,JCH0891,08:31.6,NULL,NULL,0,1,0
5239,28738,35575210X-230331-2,35575210X,FA,F7,2601,NULL,packing,NULL,0,0,0,0,0,0,0,47:09.9,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,admin,47:09.9,NULL,26:09.7,0,0,0
5240,28738,35575210X-230331-2,35575210X,FA,F7,2601,NULL,packing,NULL,1,0,0,0,0,0,0,47:09.9,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,admin,47:09.9,NULL,26:09.7,0,1,0
5241,27864,35666814X-230406-1,35666814X,FA,F8,2601,NULL,packing,NULL,0,0,0,0,0,0,0,47:12.9,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ1000,47:12.9,NULL,19:39.8,0,0,0
5242,27864,35666814X-230406-1,35666814X,FA,F8,2601,NULL,packing,NULL,0,0,0,0,0,0,0,47:12.9,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ1000,47:12.9,NULL,19:39.8,0,0,0
5243,27864,35666814X-230406-1,35666814X,FA,F8,2601,NULL,packing,NULL,1,80,80,80,0,0,0,00:00.2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ1000,47:12.9,NULL,19:56.8,0,1,0
5837,28679,33510779X-230331-1,33510779X,FA,CSA005,2601,NULL,PACKING,NULL,1,0,0,0,0,0,0,30:21.4,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ0206,30:21.4,NULL,NULL,0,1,0
6007,29581,33300030X-230407-1,33300030X,FA,F2,2601,NULL,packing,NULL,1,0,0,0,0,0,0,34:35.6,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ1000,34:35.6,NULL,NULL,0,1,0
6145,31520,35077987X-230409-1,35077987X,FA,H9,2601,NULL,Packing,NULL,1,900,900,900,0,0,0,00:00.4,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ0099,57:59.7,NULL,40:01.9,0,1,0
6163,31206,35092226X-230409-1,35092226X,FA,CSA002,2601,NULL,PACKING,NULL,1,0,0,0,0,0,0,05:46.9,1,0,NULL,8138,81,NULL,4094,42,356,9615,tj2392,05:46.9,NULL,45:32.0,0,1,1
6258,29753,35736874X-230409-1,35736874X,FA,ABX5-SA,2601,NULL,PACKING,NULL,1,1907,1902,1902,0,0,0,00:00.1,1,1,0,0,0,1897,1902,5,29,46,TJ0134,24:24.8,NULL,37:01.3,0,1,0
6259,29765,35288544X-230409-1,35288544X,FA,CMAP124,2601,NULL,Packing,NULL,1,5475,5458,5458,332,331,331,00:00.3,1,1,5080,5003,17,5958,5789,18,253,900,B0313,46:12.9,NULL,18:42.6,0,1,0
6262,31042,35673004X-230408-2,35673004X,FA,CSA001,2601,NULL,Packing,NULL,1,2744,2591,2591,204,188,188,00:00.3,1,1,NULL,2779,148,NULL,2779,169,303,1822,ZHH1360,33:25.0,NULL,17:46.5,0,1,0
6263,29807,35092226X-230409-1,35092226X,FA,CSA002,2601,NULL,PACKING,NULL,1,0,0,0,0,0,0,45:32.0,1,0,NULL,4041,21,NULL,4041,61,344,3972,TJ0241,45:32.0,NULL,18:34.6,0,1,0
6264,31614,35397586X-230410-1,35397586X,FA,H17,2601,NULL,PACKING,NULL,1,600,600,600,0,0,0,00:00.3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,H5814,46:20.9,NULL,24:35.4,0,1,0
6265,31618,35574598X-230410-1,35574598X,FA,H11,2601,NULL,PACKING,NULL,1,750,750,750,150,150,150,00:00.3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ0305,13:48.0,NULL,06:23.8,0,1,0
6268,31624,35327599X-230410-1,35327599X,FA,H2,2601,NULL,PACKING,NULL,1,1200,1200,1200,0,0,0,00:00.3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ1586,21:57.6,NULL,29:18.2,0,1,0
6270,31626,35677459X-230410-1,35677459X,FA,H14,2601,NULL,PACKING,NULL,1,200,200,200,0,0,0,00:00.2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XTH0692,25:22.7,NULL,55:55.9,0,1,0
6271,31628,35677468X-230410-1,35677468X,FA,H15,2601,NULL,PACKING,NULL,1,200,200,200,0,0,0,00:00.3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ2430,26:35.3,NULL,58:33.6,0,1,0
6272,31630,33301755X-230410-1,33301755X,FA,H7,2601,NULL,Packing,NULL,1,900,900,900,0,0,0,00:00.3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ1080,30:33.4,NULL,44:52.5,0,1,0
6274,31634,33401017-230410-1,33401017,FA,H3,2601,NULL,Packing,NULL,1,800,800,800,100,100,100,00:00.3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ0104,39:07.7,NULL,15:37.7,0,1,0
6275,31636,35413705X-230410-2,35413705X,FA,H10,2601,NULL,Packing,NULL,1,750,750,750,0,0,0,00:00.3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ1217,41:40.2,NULL,44:12.3,0,1,0
6276,31640,33301755X-230410-2,33301755X,FA,H8,2601,NULL,Packing,NULL,1,900,900,900,0,0,0,00:00.3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ0112,42:45.8,NULL,36:04.4,0,1,0
6281,27503,35585625X-230402-1,35585625X,FA,F9,2601,NULL,packing,NULL,1,1500,1500,1500,0,0,0,00:00.3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ2379,07:10.3,NULL,55:45.2,0,1,0
6284,31662,35553047-230410-2,35553047,FA,F4,2601,NULL,packing,NULL,1,1650,1650,1650,0,0,0,00:00.5,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,H5141,58:05.6,NULL,04:15.1,0,1,0
6285,31664,35567203X-230410-1,35567203X,FA,F6,2601,NULL,packing,NULL,1,1680,1680,1680,0,0,0,00:00.3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,H7234,10:13.3,NULL,43:58.7,0,1,0
6287,31666,35662729X-230410-1,35662729X,FA,H12,2601,NULL,PACKING,NULL,1,450,450,450,0,0,0,00:00.3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,tj1086,24:42.3,NULL,49:41.7,0,1,0
6290,31672,35498869X-230410-2,35498869X,FA,CMAP127,2601,NULL,PACKING,NULL,1,3556,3538,3538,380,380,380,00:00.3,1,1,5361,5268,21,3952,3918,18,262,900,TJ0180,48:27.2,NULL,18:43.3,0,1,0
6291,31674,35464689-230410-1,35464689,FA,F1,2601,NULL,packing,NULL,1,300,300,300,0,0,0,00:00.3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BH1367,53:18.9,NULL,41:08.6,0,1,0
6292,31668,35462902X-230410-2,35462902X,FA,CMAP121,2601,NULL,Packing,NULL,1,3119,3091,3091,398,398,398,00:00.3,1,1,4811,4719,34,3567,3489,28,26,396,TJ2365,54:14.4,NULL,18:42.4,0,1,0
6293,31676,35587257X-230410-1,35587257X,FA,H16,2601,NULL,Packing,NULL,1,0,0,0,0,0,0,19:33.9,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TJ0212,19:33.9,NULL,NULL,0,1,0
6294,31678,35573406X-230410-1,35573406X,FA,H6,2601,NULL,PACKING,NULL,1,0,0,0,0,0,0,35:29.8,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BH0187,35:29.8,NULL,NULL,0,1,0
6295,29801,35649832X-230409-1,35649832X,FA,CMAP147,2601,NULL,PACKING,NULL,1,2523,2496,2496,373,371,371,00:00.3,1,1,NULL,4147,42,NULL,2867,29,220,1851,tj0183,44:46.0,NULL,18:44.0,0,1,0
6296,31652,35685617X-230410-1,35685617X,FA,CMAP144,2601,NULL,Packing,NULL,1,1882,1842,1842,336,333,333,00:00.3,1,1,2969,2800,55,2346,2175,43,257,900,TJ0118,45:29.1,NULL,18:43.5,0,1,0
